Image Name	Image Plane	Image Date and Time	Elapsed Time	Stage Label	Wavelength	Object #	Frame #	X	Y	Distance	Time Interval	Velocity	Absolute Angle	Distance To Origin	Delta X	Delta Y
Subtract	71	55:05.3	00:03.1	No Label	0	1	71	329.044	60.4043	0.837457	50	0.01674914	-115.018	334.542	-0.758881	-0.354168
Subtract	72	55:05.4	00:03.1	No Label	0	1	72	332.889	64.6166	5.70361	50	0.1140722	42.3929	339.103	3.84543	4.21234
Subtract	73	55:05.4	00:03.2	No Label	0	1	73	332.677	64.8753	0.335065	50	0.0067013	-39.461	338.943	-0.212952	0.25869
Subtract	74	55:05.5	00:03.2	No Label	0	1	74	335.509	68.5513	4.64037	50	0.0928074	37.6114	342.44	2.83203	3.67596
Subtract	75	55:05.5	00:03.2	No Label	0	1	75	335.541	68.7511	0.202385	50	0.0040477	9.22371	342.512	0.0324402	0.199768
Subtract	76	55:05.5	00:03.3	No Label	0	1	76	335.541	68.7511	0	50	0	0	342.512	0	0
Subtract	77	55:05.6	00:03.3	No Label	0	1	77	337.543	72.144	3.93962	50	0.0787924	30.5444	345.167	2.00214	3.39294
Subtract	78	55:05.6	00:03.4	No Label	0	1	78	337.608	71.8518	0.2994	50	0.005988	167.401	345.17	0.0653076	-0.292191
Subtract	79	55:05.7	00:03.4	No Label	0	1	79	337.608	71.8518	0	50	0	0	345.17	0	0
Subtract	80	55:05.7	00:03.5	No Label	0	1	80	338.891	74.5638	3.00007	50	0.0600014	25.3155	346.997	1.28284	2.71197
Subtract	81	55:05.8	00:03.5	No Label	0	1	81	338.641	74.9209	0.436025	50	0.0087205	-35.0193	346.83	-0.250214	0.357086
Subtract	82	55:05.8	00:03.5	No Label	0	1	82	339.224	77.2813	2.43147	50	0.0486294	13.88	347.916	0.583282	2.36047
Subtract	83	55:05.8	00:03.6	No Label	0	1	83	339.09	77.1939	0.159877	50	0.00319754	-123.134	347.766	-0.133881	-0.0873871
Subtract	84	55:05.9	00:03.6	No Label	0	1	84	339.09	77.1939	0	50	0	0	347.766	0	0
Subtract	85	55:05.9	00:03.7	No Label	0	1	85	338.738	81.0002	3.82254	50	0.0764508	-5.28436	348.288	-0.352051	3.80629
Subtract	86	55:06.0	00:03.7	No Label	0	1	86	338.307	80.5824	0.600516	50	0.01201032	-134.096	347.772	-0.431274	-0.417877
Subtract	87	55:06.0	00:03.8	No Label	0	1	87	336.918	85.1828	4.80573	50	0.0961146	-16.8061	347.519	-1.3895	4.60047
Subtract	88	55:06.1	00:03.8	No Label	0	1	88	336.792	84.8098	0.39371	50	0.0078742	-161.348	347.306	-0.125916	-0.373032
Subtract	89	55:06.1	00:03.8	No Label	0	1	89	336.714	84.61	0.214577	50	0.00429154	-158.622	347.181	-0.0782166	-0.199814
Subtract	90	55:06.1	00:03.9	No Label	0	1	90	336.181	88.8955	4.31851	50	0.0863702	-7.08625	347.735	-0.532745	4.28552
Subtract	91	55:06.2	00:03.9	No Label	0	1	91	335.986	88.8613	0.198219	50	0.00396438	-99.9272	347.538	-0.195251	-0.0341721
Subtract	92	55:06.2	00:04.0	No Label	0	1	92	335.92	88.7106	0.164282	50	0.00328564	-156.541	347.436	-0.0653992	-0.150703
Subtract	93	55:06.3	00:04.0	No Label	0	1	93	335.883	93.9393	5.22879	50	0.1045758	-0.410987	348.772	-0.0375061	5.22865
Subtract	94	55:06.3	00:04.0	No Label	0	1	94	337.325	95.0913	1.84572	50	0.0369144	51.379	350.472	1.44205	1.15204
Subtract	95	55:06.3	00:04.1	No Label	0	1	95	338.529	99.6194	4.68563	50	0.0937126	14.8993	352.883	1.20477	4.5281
Subtract	96	55:06.4	00:04.1	No Label	0	1	96	339.141	100.145	0.806342	50	0.01612684	49.3047	353.618	0.611359	0.525764
Subtract	97	55:06.4	00:04.2	No Label	0	1	97	338.919	99.8329	0.38307	50	0.0076614	-144.619	353.317	-0.221802	-0.312325
Subtract	98	55:06.5	00:04.2	No Label	0	1	98	339.548	104.038	4.25188	50	0.0850376	8.50098	355.129	0.62854	4.20517
Subtract	99	55:06.5	00:04.3	No Label	0	1	99	340.452	104.382	0.967462	50	0.01934924	69.1663	356.094	0.904205	0.344086
